subject_id;device_num;mBAN_left;mBAN_right;group;work_type;start_date
80;#001;588E81A24A27;886B0FABF921;1;FO;22-09-2025
81;#002;886B0FABF7D3;588E81A24A0D;1;FO;22-09-2025
82;#003;886B0FABF79E;84FD27E50653;1;FO;22-09-2025
83;#004;886B0FABF703;588E81A249C7;1;BO;22-09-2025
84;#006;886B0FABF754;886B0FABF870;1;FO;22-09-2025
86;#001;588E81A24A27;886B0FABF921;2;BO;29-09-2025
87;#002;886B0FABF7D3;588E81A24A0D;2;BO;29-09-2025
85;#003;886B0FABF79E;84FD27E50653;2;BO;29-09-2025
89;#005;886B0FABF7DB;84FD27E504C3;2;FO;29-09-2025
90;#006;886B0FABF754;886B0FABF870;2;FO;29-09-2025
100;#001;588E81A24A27;886B0FABF921;3;BO;06-10-2025
95;#004;886B0FABF703;588E81A249C7;3;BO;06-10-2025
110;#001;588E81A24A27;886B0FABF921;4;FO;13-10-2025
109;#002;886B0FABF7D3;588E81A24A0D;4;FO;13-10-2025
103;#003;886B0FABF79E;84FD27E50653;4;BO;13-10-2025
104;#004;886B0FABF703;588E81A249C7;4;FO;13-10-2025
105;#005;886B0FABF7DB;84FD27E504C3;4;FO;13-10-2025
106;#006;886B0FABF754;886B0FABF870;4;FO;13-10-2025
107;#007;588E81A24A2B;84FD27E506E8;4;FO;13-10-2025
108;#008;588E81A249B2;588E81A24887;4;FO;13-10-2025
120;#001;588E81A24A27;886B0FABF921;5;BO;20-10-2025
113;#002;886B0FABF7D3;588E81A24A0D;5;BO;20-10-2025
114;#003;886B0FABF79E;84FD27E50653;5;BO;20-10-2025
115;#004;886B0FABF703;588E81A249C7;5;FO;20-10-2025
116;#005;886B0FABF7DB;84FD27E504C3;5;FO;20-10-2025
117;#006;886B0FABF754;886B0FABF870;5;BO;20-10-2025
118;#007;588E81A24A2B;84FD27E506E8;5;FO;20-10-2025
122;#008;588E81A249B2;588E81A24887;5;BO;20-10-2025
93;#001;588E81A24A27;886B0FABF921;6;BO;27-10-2025
123;#008;588E81A249B2;588E81A24887;6;BO;27-10-2025
97;#003;886B0FABF79E;84FD27E50653;6;BO;27-10-2025
128;#004;886B0FABF703;588E81A249C7;6;FO;27-10-2025
126;#005;886B0FABF7DB;84FD27E504C3;6;BO;27-10-2025
125;#006;886B0FABF754;886B0FABF870;6;BO;27-10-2025
112;#007;588E81A24A2B;84FD27E506E8;6;BO;27-10-2025
99;#008;588E81A249B2;588E81A24887;7;BO;03-11-2025
127;#007;588E81A24A2B;84FD27E506E8;7;BO;03-11-2025
129;#005;886B0FABF7DB;84FD27E504C3;7;FO;03-11-2025
